"","CRASH_CRN","DISTRICT","CRASH_COUNTY","MUNICIPALITY","POLICE_AGCY","CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","TIME_OF_DAY","HOUR_OF_DAY","ILLUMINATION","WEATHER","ROAD_CONDITION","COLLISION_TYPE","RELATION_TO_ROAD","INTERSECT_TYPE","TCD_TYPE","URBAN_RURAL","LOCATION_TYPE","SCH_BUS_IND","SCH_ZONE_IND","TOTAL_UNITS","PERSON_COUNT","VEHICLE_COUNT","AUTOMOBILE_COUNT","MOTORCYCLE_COUNT","BUS_COUNT","SMALL_TRUCK_COUNT","HEAVY_TRUCK_COUNT","SUV_COUNT","VAN_COUNT","BICYCLE_COUNT","FATAL_COUNT","INJURY_COUNT","MAJ_INJ_COUNT","MOD_INJ_COUNT","MIN_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_MAJ_INJ_COUNT","BELTED_DEATH_COUNT","BELTED_MAJ_INJ_COUNT","MCYCLE_DEATH_COUNT","MCYCLE_MAJ_INJ_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_MAJ_INJ_COUNT","PED_COUNT","PED_DEATH_COUNT","PED_MAJ_INJ_COUNT","COMM_VEH_COUNT","MAX_SEVERITY_LEVEL","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","LATITUDE","LONGITUDE","DEC_LAT","DEC_LONG","EST_HRS_CLOSED","LANE_CLOSED","LN_CLOSE_DIR","NTFY_HIWY_MAINT","RDWY_SURF_TYPE_CD","SPEC_JURIS_CD","TCD_FUNC_CD","TFC_DETOUR_IND","WORK_ZONE_IND","WORK_ZONE_TYPE","WORK_ZONE_LOC","CONS_ZONE_SPD_LIM","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","FLAG_CRN","INTERSTATE","STATE_ROAD","LOCAL_ROAD","LOCAL_ROAD_ONLY","TURNPIKE","WET_ROAD","SNOW_SLUSH_ROAD","ICY_ROAD","SUDDEN_DEER","SHLDR_RELATED","REAR_END","HO_OPPDIR_SDSWP","HIT_FIXED_OBJECT","SV_RUN_OFF_RD","WORK_ZONE","PROPERTY_DAMAGE_ONLY","FATAL_OR_MAJ_INJ","INJURY","FATAL","NON_INTERSECTION","INTERSECTION","SIGNALIZED_INT","STOP_CONTROLLED_INT","UNSIGNALIZED_INT","SCHOOL_BUS","SCHOOL_ZONE","HIT_DEER","HIT_TREE_SHRUB","HIT_EMBANKMENT","HIT_POLE","HIT_GDRAIL","HIT_GDRAIL_END","HIT_BARRIER","HIT_BRIDGE","OVERTURNED","MOTORCYCLE","BICYCLE","HVY_TRUCK_RELATED","VEHICLE_FAILURE","TRAIN_TROLLEY","PHANTOM_VEHICLE","ALCOHOL_RELATED","DRINKING_DRIVER","UNDERAGE_DRNK_DRV","UNLICENSED","CELL_PHONE","NO_CLEARANCE","RUNNING_RED_LT","TAILGATING","CROSS_MEDIAN","CURVE_DVR_ERROR","LIMIT_65MPH","SPEEDING","SPEEDING_RELATED","AGGRESSIVE_DRIVING","FATIGUE_ASLEEP","DRIVER_16YR","DRIVER_17YR","DRIVER_65_74YR","DRIVER_75PLUS","UNBELTED","PEDESTRIAN","DISTRACTED","CURVED_ROAD","DRIVER_18YR","DRIVER_19YR","DRIVER_20YR","DRIVER_50_64YR","VEHICLE_TOWED","FIRE_IN_VEHICLE","HIT_PARKED_VEHICLE","MC_DRINKING_DRIVER","DRUGGED_DRIVER","INJURY_OR_FATAL","COMM_VEHICLE","IMPAIRED_DRIVER","DEER_RELATED","DRUG_RELATED","HAZARDOUS_TRUCK","ILLEGAL_DRUG_RELATED","ILLUMINATION_DARK","MINOR_INJURY","MODERATE_INJURY","MAJOR_INJURY","NHTSA_AGG_DRIVING","PSP_REPORTED","RUNNING_STOP_SIGN","TRAIN","TROLLEY","ROADWAY_CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ACCESS_CTRL","ROADWAY_COUNTY","LANE_COUNT","RDWY_ORIENT","ROAD_OWNER","ROUTE","SPEED_LIMIT","SEGMENT","OFFSET","STREET_NAME"
"53",2005021499,11,2,2301,2301,2004,11,7,1731,17,3,1,0,4,1,2,3,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"40 26:08.368","79 57:46.149",40.4357,-79.9629,2,2,4,"N",NA,NA,3,"N","N",NA,NA,NA,"","","","","","","","",2005021499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2005021499,3,3,3,2,2,"N",2,885,35,320,450,"BL OF THE ALLIES RD"
"54",2005027724,11,2,2301,2301,2004,8,4,1940,19,1,1,0,4,1,1,3,3,0,"N","Y",2,4,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,"40 28:03.568","79 54:59.173",40.4677,-79.9164,NA,0,NA,"N",NA,NA,3,"","Y",NA,NA,NA,"N","","","U","","","","",2005027724,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005027724,3,4,NA,2,2,"W",4,NA,25,NA,0,"MEADOW ST"
"55",2005027725,11,2,2301,2301,2004,8,5,1726,17,1,2,1,4,1,5,3,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"40 27:54.727","79 57:04.460",40.4652,-79.9512,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2005027725,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005027725,3,4,NA,2,2,"E",4,NA,25,NA,0,"FRIENDSHIP ST"
"56",2005028225,11,2,2301,2301,2004,8,2,1815,18,1,1,0,4,1,1,3,3,0,"N","N",2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,"40 23:18.733","80 01:14.836",40.3885,-80.0208,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2005028225,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005028225,3,4,NA,2,2,"N",4,NA,25,NA,0,"NORWICH ST"
"59",2005031388,11,2,2301,2301,2004,7,6,1555,15,1,1,0,4,1,1,2,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,"40 26:27.256","80 02:05.459",40.4409,-80.0348,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2005031388,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005031388,3,4,NA,2,2,"E",4,NA,25,NA,0,"WABASH ST"
"63",2005039141,11,2,2301,2301,2004,4,3,846,8,1,2,1,4,1,1,2,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"40 26:28.917","80 00:14.180",40.4414,-80.0039,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2005039141,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005039141,3,4,NA,2,4,"N",4,NA,25,NA,0,"STANWIX ST"
"64",2005039271,11,2,2301,2301,2005,1,7,2025,20,3,1,0,4,1,1,2,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 28:17.472","79 55:34.615",40.4715004,-79.92630005,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2005039271,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2005039271,3,4,NA,2,2,"N",4,NA,25,NA,0,"NEGLEY AV"
"67",2005042330,11,2,2301,2301,2004,11,1,1627,16,1,1,0,5,1,1,2,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,"40 25:58.342","79 56:11.533",40.4329,-79.9365,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2005042330,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005042330,3,4,NA,2,4,"N",4,NA,25,NA,0,"GREENFIELD AV"
"68",2005045161,11,2,2301,2301,2004,4,3,1705,17,1,2,1,4,1,1,0,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"40 28:17.850","79 55:28.570",40.4716,-79.9246,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2005045161,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005045161,3,4,NA,2,2,"N",4,NA,25,NA,0,"MELLON ST"
"72",2005052478,11,2,2301,2301,2004,9,1,1040,10,1,1,0,4,1,2,3,3,0,"N","N",2,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 29:09.200","79 55:35.551",40.4859,-79.9265,NA,0,NA,"N",NA,NA,9,"","N",NA,NA,NA,"","","","","","","","",2005052478,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005052478,3,4,NA,2,2,"S",4,NA,25,NA,NA,"JANCEY ST"
