"","CRASH_CRN","DISTRICT","CRASH_COUNTY","MUNICIPALITY","POLICE_AGCY","CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","TIME_OF_DAY","HOUR_OF_DAY","ILLUMINATION","WEATHER","ROAD_CONDITION","COLLISION_TYPE","RELATION_TO_ROAD","INTERSECT_TYPE","TCD_TYPE","URBAN_RURAL","LOCATION_TYPE","SCH_BUS_IND","SCH_ZONE_IND","TOTAL_UNITS","PERSON_COUNT","VEHICLE_COUNT","AUTOMOBILE_COUNT","MOTORCYCLE_COUNT","BUS_COUNT","SMALL_TRUCK_COUNT","HEAVY_TRUCK_COUNT","SUV_COUNT","VAN_COUNT","BICYCLE_COUNT","FATAL_COUNT","INJURY_COUNT","MAJ_INJ_COUNT","MOD_INJ_COUNT","MIN_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_MAJ_INJ_COUNT","BELTED_DEATH_COUNT","BELTED_MAJ_INJ_COUNT","MCYCLE_DEATH_COUNT","MCYCLE_MAJ_INJ_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_MAJ_INJ_COUNT","PED_COUNT","PED_DEATH_COUNT","PED_MAJ_INJ_COUNT","COMM_VEH_COUNT","MAX_SEVERITY_LEVEL","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","LATITUDE","LONGITUDE","DEC_LAT","DEC_LONG","EST_HRS_CLOSED","LANE_CLOSED","LN_CLOSE_DIR","NTFY_HIWY_MAINT","RDWY_SURF_TYPE_CD","SPEC_JURIS_CD","TCD_FUNC_CD","TFC_DETOUR_IND","WORK_ZONE_IND","WORK_ZONE_TYPE","WORK_ZONE_LOC","CONS_ZONE_SPD_LIM","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","FLAG_CRN","INTERSTATE","STATE_ROAD","LOCAL_ROAD","LOCAL_ROAD_ONLY","TURNPIKE","WET_ROAD","SNOW_SLUSH_ROAD","ICY_ROAD","SUDDEN_DEER","SHLDR_RELATED","REAR_END","HO_OPPDIR_SDSWP","HIT_FIXED_OBJECT","SV_RUN_OFF_RD","WORK_ZONE","PROPERTY_DAMAGE_ONLY","FATAL_OR_MAJ_INJ","INJURY","FATAL","NON_INTERSECTION","INTERSECTION","SIGNALIZED_INT","STOP_CONTROLLED_INT","UNSIGNALIZED_INT","SCHOOL_BUS","SCHOOL_ZONE","HIT_DEER","HIT_TREE_SHRUB","HIT_EMBANKMENT","HIT_POLE","HIT_GDRAIL","HIT_GDRAIL_END","HIT_BARRIER","HIT_BRIDGE","OVERTURNED","MOTORCYCLE","BICYCLE","HVY_TRUCK_RELATED","VEHICLE_FAILURE","TRAIN_TROLLEY","PHANTOM_VEHICLE","ALCOHOL_RELATED","DRINKING_DRIVER","UNDERAGE_DRNK_DRV","UNLICENSED","CELL_PHONE","NO_CLEARANCE","RUNNING_RED_LT","TAILGATING","CROSS_MEDIAN","CURVE_DVR_ERROR","LIMIT_65MPH","SPEEDING","SPEEDING_RELATED","AGGRESSIVE_DRIVING","FATIGUE_ASLEEP","DRIVER_16YR","DRIVER_17YR","DRIVER_65_74YR","DRIVER_75PLUS","UNBELTED","PEDESTRIAN","DISTRACTED","CURVED_ROAD","DRIVER_18YR","DRIVER_19YR","DRIVER_20YR","DRIVER_50_64YR","VEHICLE_TOWED","FIRE_IN_VEHICLE","HIT_PARKED_VEHICLE","MC_DRINKING_DRIVER","DRUGGED_DRIVER","INJURY_OR_FATAL","COMM_VEHICLE","IMPAIRED_DRIVER","DEER_RELATED","DRUG_RELATED","HAZARDOUS_TRUCK","ILLEGAL_DRUG_RELATED","ILLUMINATION_DARK","MINOR_INJURY","MODERATE_INJURY","MAJOR_INJURY","NHTSA_AGG_DRIVING","PSP_REPORTED","RUNNING_STOP_SIGN","TRAIN","TROLLEY","ROADWAY_CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ACCESS_CTRL","ROADWAY_COUNTY","LANE_COUNT","RDWY_ORIENT","ROAD_OWNER","ROUTE","SPEED_LIMIT","SEGMENT","OFFSET","STREET_NAME"
"352",2008030497,11,2,2302,2301,2008,2,6,1845,18,3,1,0,1,1,0,0,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,"40 26:38.000","79 56:23.800",40.44409943,-79.94000244,1,2,6,"N",NA,NA,0,"N","N",NA,NA,NA,"","","","","","","","",2008030497,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008030497,3,3,3,2,2,"E",2,2108,25,100,3036,"FORBES AV"
"353",2008034442,11,2,2301,NA,2007,8,6,1030,10,1,1,0,4,1,0,0,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 25:43.000","79 58:54.039",40.42879868,-79.9815979,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008034442,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008034442,3,3,3,2,2,"W",2,837,25,530,1970,"EAST CARSON ST"
"355",2008048216,11,2,2301,2301,2008,3,4,1800,18,1,2,1,4,1,1,3,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,"40 26:16.249","79 55:50.667",40.43780136,-79.93070221,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2008048216,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008048216,3,4,NA,2,2,"E",4,NA,25,NA,NA,"FORBES AV"
"358",2008054397,11,2,2301,2301,2008,4,5,1800,18,1,1,0,2,1,0,0,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,"40 27:02.131","79 57:13.442",40.45059967,-79.9536972,4,2,5,"N",NA,NA,0,"N","N",NA,NA,NA,"","","","","","","","",2008054397,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2008054397,3,3,NA,2,2,"N",4,NA,25,NA,NA,"BELLEFIELD AV"
"361",2008057940,11,2,2447,2447,2008,4,3,1542,15,1,1,0,4,1,2,0,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"40 25:04.370","79 59:12.920",40.41790009,-79.98690033,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008057940,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008057940,3,4,NA,2,2,"E",4,NA,25,NA,NA,"ARLINGTON AV"
"363",2008058527,11,2,2301,2301,2008,4,7,1240,12,1,1,0,5,1,2,0,3,0,"N","N",2,2,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"40 27:42.692","79 57:50.298",40.4618988,-79.96399689,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008058527,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008058527,3,4,NA,2,2,"W",4,NA,25,NA,NA,"LIBERTY AV"
"364",2008058616,11,2,2301,2301,2008,4,2,2325,23,3,1,0,4,6,0,0,3,0,"N","N",3,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 27:02.120","79 56:59.982",40.45059967,-79.94999695,1,2,1,"N",NA,NA,0,"Y","N",NA,NA,NA,"","","","","","","","",2008058616,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008058616,3,3,NA,2,1,"N",4,NA,25,NA,NA,"MELWOOD AV"
"368",2008065634,11,2,2301,2301,2008,4,7,1400,14,1,2,1,4,1,1,0,3,0,"N","N",2,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 27:08.601","80 00:50.926",40.45240021,-80.01409912,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008065634,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008065634,3,3,NA,2,2,"S",4,NA,25,NA,NA,"BRIGHTON RD"
"375",2008069735,11,2,2301,2301,2008,5,3,1950,19,1,1,0,0,1,1,2,3,0,"N","N",2,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"40 27:52.833","79 56:11.126",40.46469879,-79.93640137,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2008069735,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008069735,3,4,NA,2,2,"N",4,NA,25,NA,NA,"AIKEN AV"
"376",2008069793,11,2,2301,2301,2008,5,4,1915,19,4,8,0,4,1,1,2,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,"40 23:43.828","80 01:20.708",40.39550018,-80.0223999,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2008069793,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008069793,3,4,NA,2,2,"W",4,NA,25,NA,NA,"BROOKLINE BL"
"379",2008072164,11,2,2301,2301,2008,5,6,1729,17,1,1,0,6,4,2,0,3,0,"N","N",2,3,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,"40 28:46.423","79 56:07.886",40.479599,-79.9355011,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008072164,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008072164,3,4,NA,2,2,"E",4,NA,NA,NA,NA,"WALDO ST"
"380",2008072187,11,2,2301,2301,2008,6,3,1720,17,1,2,1,4,1,1,2,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,"40 27:54.064","79 55:12.014",40.46500015,-79.91999817,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2008072187,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008072187,3,4,NA,2,4,"N",4,NA,35,NA,NA,"NEGLEY RUN RD"
"381",2008072267,11,2,2301,2301,2008,5,6,1435,14,1,1,0,4,1,1,0,3,0,"","",2,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,"40 25:41.960","79 58:22.841",40.42829895,-79.97280121,1,2,3,"",NA,NA,0,"N","N",NA,NA,NA,"","","","","","","","",2008072267,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008072267,3,3,3,2,2,"",2,837,35,520,1865,"EAST CARSON ST"
"382",2008072268,11,2,2301,2301,2008,5,6,1935,19,4,9,8,4,1,0,0,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 25:46.228","80 00:17.847",40.42950058,-80.00499725,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008072268,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008072268,3,3,NA,2,2,"",4,NA,25,NA,NA,"SYCAMORE ST"
"383",2008072634,11,2,2301,2301,2008,6,2,800,8,1,1,0,5,1,0,0,3,0,"N","N",2,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"40 26:28.323","79 57:40.860",40.44120026,-79.96140289,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008072634,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008072634,3,3,NA,2,2,"S",4,NA,25,NA,NA,"DARRAGH ST"
"386",2008074960,11,2,2301,2301,2008,6,4,905,9,1,1,0,2,1,0,0,3,0,"N","N",2,2,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,"40 26:31.038","79 57:29.563",40.44200134,-79.95819855,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008074960,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008074960,3,3,NA,2,5,"",4,NA,25,NA,NA,"5TH AV"
"389",2008077105,11,2,2301,2301,2008,6,1,2256,22,3,2,1,4,1,1,2,3,0,"N","N",2,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 28:54.120","79 57:11.880",40.4822998,-79.95220184,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2008077105,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008077105,3,3,3,2,2,"E",2,2122,NA,60,1945,"BUTLER ST"
"391",2008077915,11,2,2301,2301,2008,6,7,9999,99,1,1,0,5,1,0,0,3,0,"N","N",5,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"40 26:04.830","79 55:22.166",40.43470001,-79.92279816,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008077915,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008077915,3,3,NA,2,2,"N",4,NA,25,NA,NA,"MURRAY AV"
"392",2008079325,11,2,2301,2301,2008,6,2,720,7,1,1,0,4,1,1,2,3,0,"N","N",2,4,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,"40 28:07.680","79 57:43.920",40.46879959,-79.96219635,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2008079325,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008079325,3,4,NA,2,3,"N",4,NA,25,NA,NA,"FORTIETH ST"
"393",2008079399,11,2,2301,2301,2008,6,6,1238,12,1,1,0,8,1,0,0,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 23:32.647","80 00:30.157",40.39239883,-80.00839996,2,2,4,"N",NA,NA,0,"N","N",NA,NA,NA,"","","","","","","","",2008079399,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008079399,3,3,NA,2,2,"W",4,NA,25,NA,NA,"BROOKLINE BL"
"397",2008084058,11,2,2301,2301,2008,7,3,1325,13,1,1,0,4,1,2,0,3,0,"N","N",2,3,1,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,"40 27:40.600","80 01:07.662",40.4612999,-80.01879883,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008084058,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008084058,3,4,NA,2,2,"N",4,NA,35,NA,NA,"BRIGHTON RD"
"398",2008084315,11,2,2301,2301,2008,7,6,1953,19,1,1,0,1,1,6,0,3,2,"N","N",2,2,1,0,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 26:05.640","79 58:23.880",40.43489838,-79.97329712,NA,0,NA,"N",NA,NA,0,"","Y",NA,NA,NA,"N","Y","Y","N","Y","Y","","Y",2008084315,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008084315,3,3,3,2,2,"S",2,2085,25,11,2292,"BIRMINGHAM BR"
"399",2008086187,11,2,2301,2301,2008,7,6,1517,15,1,1,0,4,1,1,2,3,0,"N","N",2,3,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"40 26:12.120","80 00:03.240",40.43669891,-80.00090027,1,1,4,"N",NA,NA,3,"N","N",NA,NA,NA,"","","","","","","","",2008086187,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008086187,3,5,NA,2,3,"E",4,NA,25,NA,NA,"FORT PITT BL"
"402",2008088508,11,2,2301,2301,2008,7,1,1800,18,1,1,0,4,1,1,0,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"40 27:20.703","80 03:00.531",40.4557991,-80.05010223,1,2,5,"N",NA,NA,0,"N","N",NA,NA,NA,"","","","","","","","",2008088508,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008088508,3,4,NA,2,2,"N",4,NA,25,NA,NA,"HAMMOND ST"
"412",2008095648,11,2,2301,2301,2008,8,7,1545,15,1,1,0,4,1,1,2,3,2,"N","N",2,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 26:12.212","80 00:03.223",40.43640137,-80.00109863,NA,0,NA,"N",NA,NA,3,"","N",NA,NA,NA,"","","","","","","","",2008095648,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008095648,3,4,1,2,1,"E",2,8095,NA,10,0,"GRANT ST INT/RP B RD"
"414",2008097411,11,2,2301,2301,2008,8,7,905,9,1,1,0,4,4,0,0,3,7,"N","Y",2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"40 26:16.510","79 59:27.829",40.43790054,-79.9910965,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008097411,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008097411,3,3,NA,2,2,"E",4,NA,25,NA,NA,"MCANULTY DR"
"415",2008097479,11,2,2301,2301,2008,8,3,810,8,1,1,0,4,1,1,0,3,0,"N","N",2,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"40 27:41.715","79 58:07.509",40.46369934,-79.96649933,NA,0,NA,"N",NA,NA,0,"","N",NA,NA,NA,"","","","","","","","",2008097479,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008097479,3,3,3,2,2,"W",2,2122,25,20,443,"PENN AV"
